timestamp,command,left_speed,right_speed,Location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,BumpLeft,BumpRight
50.87,Forward,10,10,Wall,0,0,2,0,7,0,16,FALSE,FALSE
51.14,Forward,10,10,Wall,1,4,3,4,9,1,16,FALSE,FALSE
51.41,Forward,10,10,Wall,0,0,3,0,7,0,12,FALSE,FALSE
51.73,Forward,10,10,Wall,0,3,2,4,7,0,10,FALSE,FALSE
52.0,Forward,10,10,Wall,1,5,3,4,8,2,10,FALSE,FALSE
52.27,Forward,10,10,Wall,1,3,4,3,10,0,9,FALSE,FALSE
52.54,Forward,10,10,Wall,0,2,0,3,6,0,2,FALSE,FALSE
52.81,Forward,10,10,Wall,2,0,2,0,8,0,9,FALSE,FALSE
53.08,Forward,10,10,Wall,0,2,0,3,9,1,4,FALSE,FALSE
53.35,Forward,10,10,Wall,0,1,2,2,8,0,6,FALSE,FALSE
53.62,Forward,10,10,Wall,2,0,4,1,10,0,7,FALSE,FALSE
53.89,Forward,10,10,Wall,0,0,2,2,8,0,4,FALSE,FALSE
54.2,Forward,10,10,Wall,1,1,2,2,9,1,6,FALSE,FALSE
54.47,Forward,10,10,Wall,0,1,3,0,6,0,3,FALSE,FALSE
54.74,Forward,10,10,Wall,0,0,0,1,6,1,1,FALSE,FALSE
55.01,Forward,10,10,Wall,0,3,2,0,10,0,5,FALSE,FALSE
55.28,Forward,10,10,Wall,1,1,2,0,9,0,4,FALSE,FALSE
55.55,Forward,10,10,Wall,2,3,3,2,11,1,3,FALSE,FALSE
55.82,Forward,10,10,Wall,2,1,2,2,9,1,4,FALSE,FALSE
56.14,Forward,10,10,Wall,0,0,2,0,8,0,1,FALSE,FALSE
56.41,Forward,10,10,Wall,0,0,0,0,8,0,2,FALSE,FALSE
56.72,Forward,10,10,Wall,1,1,4,0,10,0,3,FALSE,FALSE
57.04,Forward,10,10,Wall,0,4,2,3,7,2,1,FALSE,FALSE
57.31,Forward,10,10,Wall,0,0,0,3,8,1,0,FALSE,FALSE
57.58,Forward,10,10,Wall,2,2,0,2,7,0,2,FALSE,FALSE
57.85,Right,5,-5,Wall,0,0,2,0,6,0,0,FALSE,FALSE
58.12,Right,5,-5,Wall,1,0,4,2,10,1,4,FALSE,FALSE
58.39,Right,5,-5,Wall,0,3,0,3,3,0,0,FALSE,FALSE
58.66,Right,5,-5,Wall,0,4,3,3,10,2,3,FALSE,FALSE
58.93,Right,5,-5,Wall,0,0,3,1,8,0,6,FALSE,FALSE
59.2,Right,5,-5,Wall,0,0,3,0,8,0,10,FALSE,FALSE
59.47,Forward,10,10,Wall,0,3,0,2,7,4,13,FALSE,FALSE
59.74,Forward,10,10,Wall,0,4,0,4,5,6,20,FALSE,FALSE
60.05,Left,-5,5,Wall,2,2,4,2,9,3,41,FALSE,FALSE
60.32,Left,-5,5,Wall,0,0,3,1,9,5,65,FALSE,FALSE
60.59,Left,-5,5,Wall,0,1,2,4,6,6,64,FALSE,FALSE
60.91,Forward,10,10,Wall,2,0,2,0,6,0,39,FALSE,FALSE
61.18,Forward,10,10,Wall,0,2,2,2,7,1,41,FALSE,FALSE
61.45,Left,-5,5,Wall,0,4,2,2,8,3,58,FALSE,FALSE
61.72,Forward,10,10,Wall,1,3,2,1,7,3,44,FALSE,FALSE
62.03,Forward,10,10,Wall,0,1,4,2,8,2,21,FALSE,FALSE
62.3,Right,5,-5,Wall,0,0,1,0,6,0,10,FALSE,FALSE
62.57,Right,5,-5,Wall,1,3,1,2,7,1,12,FALSE,FALSE
62.84,Right,5,-5,Wall,0,0,3,0,6,0,21,FALSE,FALSE
63.11,Forward,10,10,Wall,0,3,0,4,5,4,44,FALSE,FALSE
63.38,Left,-5,5,Wall,0,1,1,0,8,4,76,FALSE,FALSE
63.65,Left,-5,5,Wall,1,3,3,3,7,3,70,FALSE,FALSE
63.92,Forward,10,10,Wall,0,1,3,1,7,1,32,FALSE,FALSE
64.24,Forward,10,10,Wall,1,0,4,2,8,0,24,FALSE,FALSE
64.64,Forward,10,10,Wall,1,0,1,0,8,0,21,FALSE,FALSE
64.91,Forward,10,10,Wall,0,1,2,2,7,2,22,FALSE,FALSE
65.18,Forward,10,10,Wall,0,1,0,2,2,0,17,FALSE,FALSE
65.45,Forward,10,10,Wall,0,2,2,2,5,0,22,FALSE,FALSE
65.72,Forward,10,10,Wall,1,1,4,2,7,1,24,FALSE,FALSE
65.99,Forward,10,10,Wall,1,1,1,1,6,0,22,FALSE,FALSE
66.26,Forward,10,10,Wall,0,2,2,2,6,1,23,FALSE,FALSE
66.53,Forward,10,10,Wall,1,0,3,2,7,1,23,FALSE,FALSE
66.8,Forward,10,10,Wall,0,0,2,0,6,0,25,FALSE,FALSE
67.07,Forward,10,10,Wall,0,0,2,0,6,0,23,FALSE,FALSE
67.34,Forward,10,10,Wall,0,0,0,1,6,0,23,FALSE,FALSE
67.61,Forward,10,10,Wall,1,1,4,0,8,0,25,FALSE,FALSE
67.88,Forward,10,10,Wall,0,2,0,3,5,1,22,FALSE,FALSE
68.2,Forward,10,10,Wall,1,0,2,0,5,0,23,FALSE,FALSE
68.47,Forward,10,10,Wall,0,1,3,2,8,1,24,FALSE,FALSE
68.74,Forward,10,10,Wall,0,0,3,0,7,0,24,FALSE,FALSE
69.01,Forward,10,10,Wall,2,2,0,1,5,1,21,FALSE,FALSE
69.28,Forward,10,10,Wall,0,2,1,2,5,0,23,FALSE,FALSE
69.55,Forward,10,10,Wall,0,3,1,3,6,3,22,FALSE,FALSE
69.82,Forward,10,10,Wall,1,0,1,0,6,0,23,FALSE,FALSE
70.09,Forward,10,10,Wall,0,3,3,2,7,2,22,FALSE,FALSE
70.36,Forward,10,10,Wall,0,3,0,1,5,0,21,FALSE,FALSE
70.63,Forward,10,10,Wall,0,0,3,1,6,0,22,FALSE,FALSE
70.94,Forward,10,10,Wall,0,4,1,2,5,2,20,FALSE,FALSE
71.21,Forward,10,10,Wall,0,2,2,1,7,0,25,FALSE,FALSE
71.53,Forward,10,10,Wall,1,3,3,1,7,2,25,FALSE,FALSE
71.8,Forward,10,10,Wall,0,2,2,1,6,0,23,FALSE,FALSE
72.07,Forward,10,10,Wall,0,0,0,2,5,0,22,FALSE,FALSE
72.34,Forward,10,10,Wall,0,3,0,2,3,2,19,FALSE,FALSE
72.61,Forward,10,10,Wall,0,1,3,1,8,0,22,FALSE,FALSE
72.88,Forward,10,10,Wall,0,2,0,3,3,2,19,FALSE,FALSE
73.19,Forward,10,10,Wall,2,1,5,1,6,0,21,FALSE,FALSE
73.46,Forward,10,10,Wall,0,3,1,2,7,2,19,FALSE,FALSE
73.73,Forward,10,10,Wall,1,0,2,0,7,0,21,FALSE,FALSE
74.0,Forward,10,10,Wall,0,0,3,0,6,0,18,FALSE,FALSE
74.27,Forward,10,10,Wall,1,2,4,2,8,2,21,FALSE,FALSE
74.54,Forward,10,10,Wall,1,4,1,1,4,1,20,FALSE,FALSE
74.86,Forward,10,10,Wall,0,3,1,3,7,3,19,FALSE,FALSE
75.13,Forward,10,10,Wall,0,2,3,1,6,1,20,FALSE,FALSE
75.4,Forward,10,10,Wall,0,3,0,0,6,0,17,FALSE,FALSE
75.67,Forward,10,10,Wall,0,2,2,2,5,2,18,FALSE,FALSE
76.03,Forward,10,10,Wall,2,2,1,2,4,0,21,FALSE,FALSE
76.3,Forward,10,10,Wall,0,0,3,0,6,0,21,FALSE,FALSE
76.57,Forward,10,10,Wall,1,2,3,0,6,0,21,FALSE,FALSE
76.84,Forward,10,10,Wall,0,2,0,4,1,1,13,FALSE,FALSE
77.11,Forward,10,10,Wall,0,4,0,2,3,3,15,FALSE,FALSE
77.38,Forward,10,10,Wall,1,0,2,2,7,0,22,FALSE,FALSE
77.65,Forward,10,10,Wall,2,1,5,1,7,0,21,FALSE,FALSE
77.92,Forward,10,10,Wall,0,3,0,3,1,0,18,FALSE,FALSE
78.23,Forward,10,10,Wall,0,2,2,3,7,1,20,FALSE,FALSE
78.5,Forward,10,10,Wall,0,2,0,2,4,0,17,FALSE,FALSE
78.77,Forward,10,10,Wall,0,3,4,0,10,1,21,FALSE,FALSE
79.04,Forward,10,10,Wall,1,1,2,1,8,0,20,FALSE,FALSE
79.36,Forward,10,10,Wall,0,3,0,2,4,1,19,FALSE,FALSE
79.67,Forward,10,10,Wall,2,0,5,1,11,0,23,FALSE,FALSE
79.94,Forward,10,10,Wall,0,0,4,0,10,0,23,FALSE,FALSE
80.21,Forward,10,10,Door_Start,0,0,0,0,8,0,27,FALSE,FALSE
80.48,Forward,10,10,Door_Start,0,3,0,2,7,2,55,FALSE,FALSE
80.75,Forward,10,10,Door_Start,1,0,4,2,9,0,144,FALSE,FALSE
81.02,Forward,10,10,Door_Start,2,1,2,0,10,0,169,FALSE,FALSE
81.29,Forward,10,10,Door_Start,0,1,0,3,6,0,57,FALSE,FALSE
